last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_total_pa,p_total_hits,p_k_percent,p_bb_percent,p_out,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_fastball_formatted,n_breaking_formatted,n_offspeed_formatted
Uberstine,Tyler,1,2021,22,6,39.2,312,53,22.1,5.1,7,5.9,62.5,17.2,29.3,40.6,58.9,51.2,7.7,82.8,48.8,46,24.9,45.5,34.4,40.2,25.4,63.1,45.1,20.5,29.5,4.9,60.2,30.7,9.2
Lavelle,Quinn,2,2021,22,6,38,312,36,22.1,5.1,0,6.16,62.5,17.2,29.3,40.6,58.9,51.2,7.7,82.8,48.8,46,24.9,45.5,34.4,40.2,25.4,63.1,45.1,20.5,29.5,4.9,60.2,30.7,9.2
Doherty,Mike,3,2021,23,5,63.1,312,64,22.1,5.1,5,3.7,62.5,17.2,29.3,40.6,58.9,51.2,7.7,82.8,48.8,46,24.9,45.5,34.4,40.2,25.4,63.1,45.1,20.5,29.5,4.9,60.2,30.7,9.2
